year,site,depth,species,transect,size,density,biomass,trophic_guild,family
2014,XL,10,Chaetodon sedentarius,6,15,1,81.625,Invertivore,Chaetodontidae
2014,XL,20,Thalassoma bifasciatum,1,5,5,5.969,Omnivore,Labridae
2014,XL,20,Thalassoma bifasciatum,1,10,7,66.850,Omnivore,Labridae
2014,XL,20,Thalassoma bifasciatum,1,15,2,64.463,Omnivore,Labridae
2014,XL,20,Chaetodon capistratus,1,15,7,757.251,Invertivore,Chaetodontidae
2014,XL,20,Scarus taeniopterus,1,10,1,13.500,Herbivore,Scaridae
2014,XL,20,Canthigaster rostrata,1,15,2,161.689,Omnivore,Tetraodontidae
2014,XL,20,Sparisoma aurofrenatum,1,10,1,14.132,Herbivore,Scaridae
2014,XL,20,Sparisoma viride,1,10,1,15.131,Herbivore,Scaridae
2014,XL,20,Halochoeres garnoti,1,10,1,13.488,Invertivore,Labridae
2014,XL,20,Thalassoma bifasciatum,2,5,1,1.194,Omnivore,Labridae
2014,XL,20,Chaetodon capistratus,2,10,6,185.426,Invertivore,Chaetodontidae
2014,XL,20,Chaetodon capistratus,2,15,4,432.715,Invertivore,Chaetodontidae
2014,XL,20,Thalassoma bifasciatum,3,5,5,5.969,Omnivore,Labridae
2014,XL,20,Thalassoma bifasciatum,3,10,8,76.400,Omnivore,Labridae
2014,XL,20,Chaetodon capistratus,3,10,2,61.809,Invertivore,Chaetodontidae
2014,XL,20,Chaetodon capistratus,3,15,2,216.357,Invertivore,Chaetodontidae
2014,XL,20,Halochoeres garnoti,3,10,3,40.464,Invertivore,Labridae
2014,XL,20,Thalassoma bifasciatum,4,5,5,5.969,Omnivore,Labridae
2014,XL,20,Canthigaster rostrata,4,10,1,24.544,Omnivore,Tetraodontidae
2014,XL,20,Holocanthus tricolor,4,10,1,23.987,Invertivore,Pomacanthidae
2014,XL,20,Chaetodon capistratus,5,10,2,61.809,Invertivore,Chaetodontidae
2014,XL,20,Sparisoma aurofrenatum,6,5,2,3.251,Herbivore,Scaridae
2014,XL,20,Halochoeres garnoti,6,10,1,13.488,Invertivore,Labridae
2014,XL,30,Sparisoma rubripinne,1,10,2,20.460,Herbivore,Scaridae
2014,XL,30,Sparisoma rubripinne,1,15,1,35.091,Herbivore,Scaridae
2014,XL,30,Chaetodon capistratus,2,15,4,432.715,Invertivore,Chaetodontidae
2014,XL,30,Sparisoma rubripinne,2,10,1,10.230,Herbivore,Scaridae
2014,XL,30,Stegastes partitus,3,5,2,3.671,Omnivore,Pomacentridae
2014,XL,30,Canthigaster rostrata,3,10,1,24.544,Omnivore,Tetraodontidae
2014,XL,45,Chaetodon capistratus,1,15,2,216.357,Invertivore,Chaetodontidae
2014,XL,45,Chromis bermudae,2,15,3,139.244,Planktivore,Pomacentridae
2014,XL,45,Coryphopterus spp,2,5,2,1.839,Omnivore,Gobiidae
2014,XL,45,Scarus taeniopterus,2,15,2,91.125,Herbivore,Scaridae
2014,XL,45,Sparisoma aurofrenatum,2,10,4,56.527,Herbivore,Scaridae
2014,XL,45,Bodianus rufus,2,15,1,46.450,Invertivore,Labridae
2014,XL,45,Halochoeres garnoti,2,5,4,6.249,Invertivore,Labridae
2014,XL,45,Halochoeres garnoti,2,15,4,190.393,Invertivore,Labridae
2014,XL,45,Chromis bermudae,3,10,2,27.617,Planktivore,Pomacentridae
2014,XL,45,Chromis bermudae,3,15,4,185.659,Planktivore,Pomacentridae
2014,XL,45,Chaetodon sedentarius,3,15,2,163.249,Invertivore,Chaetodontidae
2014,XL,45,Chaetodon capistratus,4,10,2,61.809,Invertivore,Chaetodontidae
2014,XL,45,Sparisoma aurofrenatum,4,15,1,50.073,Herbivore,Scaridae
2014,XL,45,Chaetodon sedentarius,4,10,2,47.979,Invertivore,Chaetodontidae
2014,XL,45,Chromis enchrysura,4,10,2,27.617,Planktivore,Pomacentridae
2014,XL,45,Halochoeres garnoti,4,15,1,47.598,Invertivore,Labridae
2014,XL,45,Chaetodon sedentarius,5,10,1,23.990,Invertivore,Chaetodontidae
2014,XL,45,Chromis enchrysura,5,10,3,41.425,Planktivore,Pomacentridae
2014,XL,45,Halochoeres garnoti,5,5,2,3.124,Invertivore,Labridae
2014,XL,45,Pterois volitans,5,10,1,10.963,Macrocarnivore,Scorpaenidae
2014,XL,45,Coryphopterus spp,6,5,1,0.920,Omnivore,Gobiidae
2014,XL,45,Sparisoma aurofrenatum,6,15,3,150.218,Herbivore,Scaridae
2014,XL,45,Chaetodon sedentarius,6,10,4,95.959,Invertivore,Chaetodontidae
2014,XL,45,Chromis enchrysura,6,5,1,1.738,Planktivore,Pomacentridae
2014,XL,45,Chromis enchrysura,6,10,4,55.233,Planktivore,Pomacentridae
2014,XL,60,Paranthias furcifer,1,15,1,51.189,Planktivore,Epinephelinae
2014,XL,60,Chromis enchrysura,1,10,2,27.617,Planktivore,Pomacentridae
2014,XL,60,Chromis enchrysura,1,15,5,232.073,Planktivore,Pomacentridae
2014,XL,60,Halochoeres garnoti,1,15,2,95.196,Invertivore,Labridae
2014,XL,60,Chromis enchrysura,2,10,7,96.659,Planktivore,Pomacentridae
2014,XL,60,Chromis enchrysura,2,15,8,371.317,Planktivore,Pomacentridae
2014,XL,60,Pterois volitans,2,15,2,77.375,Macrocarnivore,Scorpaenidae
2014,XL,60,Pterois volitans,3,15,8,309.502,Macrocarnivore,Scorpaenidae
2014,XL,60,Chromis enchrysura,3,5,19,33.023,Planktivore,Pomacentridae
2014,XL,60,Chaetodon sedentarius,3,15,2,163.249,Invertivore,Chaetodontidae
2014,XL,60,Paranthias furcifer,3,10,1,14.905,Planktivore,Epinephelinae
2014,XL,60,Chromis bermudae,4,5,4,6.952,Planktivore,Pomacentridae
2014,XL,60,Paranthias furcifer,4,15,4,204.757,Planktivore,Epinephelinae
2014,XL,60,Chromis enchrysura,4,5,7,12.166,Planktivore,Pomacentridae
2014,XL,60,Chromis enchrysura,4,10,10,138.084,Planktivore,Pomacentridae
2014,XL,60,Pterois volitans,4,15,1,38.688,Macrocarnivore,Scorpaenidae
2014,XL,60,Paranthias furcifer,5,10,2,29.810,Planktivore,Epinephelinae
2014,XL,60,Chromis bermudae,5,5,4,6.952,Planktivore,Pomacentridae
2014,XL,60,Centropyge argi,5,5,1,2.667,Herbivore,Pomacanthidae
2014,XL,60,Sparisoma aurofrenatum,5,10,2,28.263,Herbivore,Scaridae
2014,XL,60,Chaetodon sedentarius,5,10,3,71.969,Invertivore,Chaetodontidae
2014,XL,60,Holocanthus tricolor,5,10,1,23.987,Invertivore,Pomacanthidae
2014,XL,60,Chromis enchrysura,5,5,1,1.738,Planktivore,Pomacentridae
2014,XL,60,Chromis enchrysura,5,10,4,55.233,Planktivore,Pomacentridae
2014,XL,60,Chromis enchrysura,5,15,25,1160.366,Planktivore,Pomacentridae
2014,XL,60,Pterois volitans,5,15,2,77.375,Macrocarnivore,Scorpaenidae
2014,XL,60,Cephalopholis fulva,6,10,10,128.836,Omnivore,Serranidae
2014,XL,60,Cephalopholis fulva,6,15,10,441.932,Omnivore,Serranidae
2014,XL,60,Halichoeres radiatus,6,10,1,14.298,Invertivore,Labridae
2014,XL,60,Halichoeres radiatus,6,15,1,49.005,Invertivore,Labridae
2014,XL,60,Chaetodon sedentarius,6,15,1,81.625,Invertivore,Chaetodontidae
2014,XL,60,Bodianus pulchellus,6,5,8,13.331,Invertivore,Labridae
2014,XL,60,Bodianus pulchellus,6,15,2,95.063,Invertivore,Labridae
2014,XL,60,Chromis enchrysura,6,5,15,26.071,Planktivore,Pomacentridae
2014,XL,60,Chromis enchrysura,6,10,10,138.084,Planktivore,Pomacentridae
2014,XL,60,Chromis enchrysura,6,15,5,232.073,Planktivore,Pomacentridae
2014,XL,60,Pterois volitans,6,15,6,232.126,Macrocarnivore,Scorpaenidae
2014,XL,60,Paranthias furcifer,7,10,2,29.810,Planktivore,Epinephelinae
2014,XL,60,Paranthias furcifer,7,15,14,716.651,Planktivore,Epinephelinae
2014,XL,60,Chromis bermudae,7,5,14,24.333,Planktivore,Pomacentridae
2014,XL,60,Stegastes partitus,7,5,1,1.836,Omnivore,Pomacentridae
2014,XL,60,Centropyge argi,7,5,10,26.669,Herbivore,Pomacanthidae
2014,XL,60,Chaetodon sedentarius,7,15,4,326.498,Invertivore,Chaetodontidae
2014,XL,60,Bodianus pulchellus,7,15,1,47.532,Invertivore,Labridae
2014,XL,60,Chromis enchrysura,7,10,12,165.700,Planktivore,Pomacentridae
2014,XL,60,Halochoeres garnoti,7,5,1,1.562,Invertivore,Labridae
2014,XL,60,Pterois volitans,7,15,1,38.688,Macrocarnivore,Scorpaenidae
2014,XL,60,Paranthias furcifer,8,10,3,44.715,Planktivore,Epinephelinae
2014,XL,60,Paranthias furcifer,8,15,2,102.379,Planktivore,Epinephelinae
2014,XL,60,Chromis bermudae,8,5,9,15.642,Planktivore,Pomacentridae
2014,XL,60,Centropyge argi,8,5,6,16.001,Herbivore,Pomacanthidae
2014,XL,60,Xyrichtys splendens,8,15,2,66.770,Planktivore,Labridae
2014,XL,60,Holocanthus tricolor,8,15,1,78.054,Invertivore,Pomacanthidae
2014,XL,60,Bodianus pulchellus,8,15,2,95.063,Invertivore,Labridae
2014,XL,60,Chromis enchrysura,8,10,10,138.084,Planktivore,Pomacentridae
2014,XL,60,Halochoeres garnoti,8,5,1,1.562,Invertivore,Labridae
2014,North Northeast,45,Scarus iseri,1,5,30,42.444,Herbivore,Scaridae
2014,North Northeast,45,Chromis bermudae,3,5,25,43.451,Planktivore,Pomacentridae
2014,North Northeast,45,Chromis bermudae,3,10,5,69.042,Planktivore,Pomacentridae
2014,North Northeast,45,Coryphopterus spp,5,5,2,1.839,Omnivore,Gobiidae
2014,North Northeast,45,Chromis bermudae,6,5,1,1.738,Planktivore,Pomacentridae
2014,North Northeast,45,Thalassoma bifasciatum,6,10,4,38.200,Omnivore,Labridae
2014,North Northeast,45,Sparisoma aurofrenatum,6,5,16,26.008,Herbivore,Scaridae
2014,North Northeast,60,Paranthias furcifer,1,15,1,51.189,Planktivore,Epinephelinae
2014,North Northeast,60,Chromis bermudae,1,5,2,3.476,Planktivore,Pomacentridae
2014,North Northeast,60,Acanthurus chirurgus,1,15,1,56.152,Omnivore,Acanthuridae
2014,North Northeast,60,Canthigaster rostrata,1,10,1,24.544,Omnivore,Tetraodontidae
2014,North Northeast,60,Chromis bermudae,2,5,1,1.738,Planktivore,Pomacentridae
2014,North Northeast,60,Scarus coeruleus,2,15,1,50.932,Herbivore,Scaridae
2014,North Northeast,60,Haemulon flavolineatum,2,15,1,45.331,Invertivore,Haemulidae
2014,North Northeast,60,Chromis enchrysura,2,15,2,92.829,Planktivore,Pomacentridae
2014,North Northeast,60,Chromis bermudae,3,5,2,3.476,Planktivore,Pomacentridae
2014,North Northeast,60,Sparisoma aurofrenatum,3,15,1,50.073,Herbivore,Scaridae
2014,North Northeast,60,Chaetodon sedentarius,3,15,1,81.625,Invertivore,Chaetodontidae
2014,North Northeast,60,Chromis enchrysura,3,15,1,46.415,Planktivore,Pomacentridae
2014,North Northeast,60,Chromis bermudae,4,5,4,6.952,Planktivore,Pomacentridae
2014,North Northeast,60,Centropyge argi,4,5,3,8.001,Herbivore,Pomacanthidae
2014,North Northeast,60,Coryphopterus spp,5,5,1,0.920,Omnivore,Gobiidae
2014,North Northeast,60,Centropyge argi,5,5,2,5.334,Herbivore,Pomacanthidae
2014,North Northeast,60,Chromis bermudae,6,5,6,10.428,Planktivore,Pomacentridae
2014,North Northeast,60,Coryphopterus spp,6,5,1,0.920,Omnivore,Gobiidae
2014,North Northeast,60,Centropyge argi,6,5,2,5.334,Herbivore,Pomacanthidae
2014,North Northeast,60,Rypticus saponaceus,6,15,1,49.988,Macrocarnivore,Serranidae
2014,Reel Sticky,10,Stegastes partitus,1,5,1,1.836,Omnivore,Pomacentridae
2014,Reel Sticky,10,Thalassoma bifasciatum,1,5,1,1.194,Omnivore,Labridae
2014,Reel Sticky,10,Chaetodon capistratus,1,15,2,216.357,Invertivore,Chaetodontidae
2014,Reel Sticky,10,Coryphopterus spp,1,5,3,2.759,Omnivore,Gobiidae
2014,Reel Sticky,10,Thalassoma bifasciatum,2,5,4,4.775,Omnivore,Labridae
2014,Reel Sticky,10,Thalassoma bifasciatum,2,10,4,38.200,Omnivore,Labridae
2014,Reel Sticky,10,Chaetodon capistratus,2,15,4,432.715,Invertivore,Chaetodontidae
2014,Reel Sticky,10,Halochoeres garnoti,2,10,1,13.488,Invertivore,Labridae
2014,Reel Sticky,10,Stegastes partitus,3,5,1,1.836,Omnivore,Pomacentridae
2014,Reel Sticky,10,Thalassoma bifasciatum,3,5,5,5.969,Omnivore,Labridae
2014,Reel Sticky,10,Chaetodon capistratus,3,15,2,216.357,Invertivore,Chaetodontidae
2014,Reel Sticky,10,Canthigaster rostrata,3,5,1,3.198,Omnivore,Tetraodontidae
2014,Reel Sticky,10,Sparisoma aurofrenatum,3,5,2,3.251,Herbivore,Scaridae
2014,Reel Sticky,10,Scarus iseri,3,15,2,78.097,Herbivore,Scaridae
2014,Reel Sticky,10,Halochoeres garnoti,3,10,1,13.488,Invertivore,Labridae
2014,Reel Sticky,10,Thalassoma bifasciatum,4,5,11,13.131,Omnivore,Labridae
2014,Reel Sticky,10,Thalassoma bifasciatum,4,15,5,161.156,Omnivore,Labridae
2014,Reel Sticky,10,Chaetodon capistratus,4,15,1,108.179,Invertivore,Chaetodontidae
2014,Reel Sticky,10,Hypoplectrus puella,4,15,1,33.850,Invertivore,Serranidae
2014,Reel Sticky,10,Scarus iseri,4,10,2,22.953,Herbivore,Scaridae
2014,Reel Sticky,10,Scarus iseri,4,15,1,39.049,Herbivore,Scaridae
2014,Reel Sticky,10,Microspathodon chrysurus,4,15,1,77.641,Omnivore,Pomacentridae
2014,Reel Sticky,10,Thalassoma bifasciatum,5,5,4,4.775,Omnivore,Labridae
2014,Reel Sticky,10,Thalassoma bifasciatum,5,15,2,64.463,Omnivore,Labridae
2014,Reel Sticky,10,Sparisoma aurofrenatum,5,15,2,100.145,Herbivore,Scaridae
2014,Reel Sticky,10,Halochoeres garnoti,5,10,2,26.976,Invertivore,Labridae
2014,Reel Sticky,10,Thalassoma bifasciatum,6,5,10,11.938,Omnivore,Labridae
2014,Reel Sticky,10,Thalassoma bifasciatum,6,15,8,257.850,Omnivore,Labridae
2014,Reel Sticky,10,Chaetodon capistratus,6,10,1,30.904,Invertivore,Chaetodontidae
2014,Reel Sticky,10,Scarus iseri,6,5,4,5.659,Herbivore,Scaridae
2014,Reel Sticky,10,Scarus iseri,6,10,4,45.906,Herbivore,Scaridae
2014,Reel Sticky,10,Scarus iseri,6,15,1,39.049,Herbivore,Scaridae
2014,Reel Sticky,10,Halochoeres garnoti,6,5,1,1.562,Invertivore,Labridae
2014,Reel Sticky,20,Thalassoma bifasciatum,1,5,3,3.581,Omnivore,Labridae
2014,Reel Sticky,20,Thalassoma bifasciatum,1,10,3,28.650,Omnivore,Labridae
2014,Reel Sticky,20,Cephalopholis fulva,1,10,1,12.884,Omnivore,Serranidae
2014,Reel Sticky,20,Chaetodon capistratus,1,10,4,123.617,Invertivore,Chaetodontidae
2014,Reel Sticky,20,Scarus taeniopterus,1,10,2,27.000,Herbivore,Scaridae
2014,Reel Sticky,20,Scarus iseri,1,10,2,22.953,Herbivore,Scaridae
2014,Reel Sticky,20,Scarus iseri,1,15,1,39.049,Herbivore,Scaridae
2014,Reel Sticky,20,Halochoeres garnoti,1,5,1,1.562,Invertivore,Labridae
2014,Reel Sticky,20,Thalassoma bifasciatum,2,5,5,5.969,Omnivore,Labridae
2014,Reel Sticky,20,Hypoplectrus puella,2,10,1,9.868,Invertivore,Serranidae
2014,Reel Sticky,20,Scarus taeniopterus,2,5,1,1.688,Herbivore,Scaridae
2014,Reel Sticky,20,Halochoeres garnoti,2,10,2,26.976,Invertivore,Labridae
2014,Reel Sticky,20,Hypoplectrus puella,3,10,2,19.737,Invertivore,Serranidae
2014,Reel Sticky,20,Halochoeres garnoti,3,10,2,26.976,Invertivore,Labridae
2014,Reel Sticky,20,Thalassoma bifasciatum,4,5,9,10.744,Omnivore,Labridae
2014,Reel Sticky,20,Thalassoma bifasciatum,4,10,1,9.550,Omnivore,Labridae
2014,Reel Sticky,20,Chaetodon capistratus,4,15,2,216.357,Invertivore,Chaetodontidae
2014,Reel Sticky,20,Halochoeres garnoti,4,10,1,13.488,Invertivore,Labridae
2014,Reel Sticky,20,Halichoeres maculipinna,5,10,2,33.177,Invertivore,Labridae
2014,Reel Sticky,20,Chaetodon capistratus,5,15,1,108.179,Invertivore,Chaetodontidae
2014,Reel Sticky,20,Hypoplectrus puella,5,10,1,9.868,Invertivore,Serranidae
2014,Reel Sticky,20,Scarus iseri,5,5,3,4.244,Herbivore,Scaridae
2014,Reel Sticky,20,Halochoeres garnoti,5,10,1,13.488,Invertivore,Labridae
2014,Reel Sticky,20,Stegastes partitus,6,5,1,1.836,Omnivore,Pomacentridae
2014,Reel Sticky,20,Chromis cyanea,6,10,1,13.808,Planktivore,Pomacentridae
2014,Reel Sticky,20,Coryphopterus spp,6,5,1,0.920,Omnivore,Gobiidae
2014,Reel Sticky,20,Chaetodon capistratus,6,15,2,216.357,Invertivore,Chaetodontidae
2014,Reel Sticky,30,Chaetodon capistratus,1,10,1,30.904,Invertivore,Chaetodontidae
2014,Reel Sticky,30,Chaetodon capistratus,1,15,3,324.536,Invertivore,Chaetodontidae
2014,Reel Sticky,30,Coryphopterus spp,1,5,1,0.920,Omnivore,Gobiidae
2014,Reel Sticky,30,Scarus taeniopterus,1,15,1,45.563,Herbivore,Scaridae
2014,Reel Sticky,30,Chaetodon sedentarius,1,15,2,163.249,Invertivore,Chaetodontidae
2014,Reel Sticky,30,Chromis cyanea,2,10,1,13.808,Planktivore,Pomacentridae
2014,Reel Sticky,30,Sparisoma aurofrenatum,2,15,1,50.073,Herbivore,Scaridae
2014,Reel Sticky,30,Chaetodon capistratus,3,15,5,540.893,Invertivore,Chaetodontidae
2014,Reel Sticky,30,Scarus taeniopterus,3,10,1,13.500,Herbivore,Scaridae
2014,Reel Sticky,30,Cephalopholis fulva,4,15,1,44.193,Omnivore,Serranidae
2014,Reel Sticky,30,Halochoeres garnoti,4,10,1,13.488,Invertivore,Labridae
2014,Reel Sticky,30,Chaetodon capistratus,5,15,2,216.357,Invertivore,Chaetodontidae
2014,Reel Sticky,30,Chaetodon sedentarius,6,15,2,163.249,Invertivore,Chaetodontidae
2014,Reel Sticky,30,Halochoeres garnoti,6,10,1,13.488,Invertivore,Labridae
2014,Reel Sticky,45,Scarus taeniopterus,1,15,1,45.563,Herbivore,Scaridae
2014,Reel Sticky,45,Sparisoma aurofrenatum,1,15,2,100.145,Herbivore,Scaridae
2014,Reel Sticky,45,Halochoeres garnoti,1,15,1,47.598,Invertivore,Labridae
2014,Reel Sticky,45,Chromis bermudae,2,15,1,46.415,Planktivore,Pomacentridae
2014,Reel Sticky,45,Thalassoma bifasciatum,2,5,4,4.775,Omnivore,Labridae
2014,Reel Sticky,45,Scarus taeniopterus,2,10,2,27.000,Herbivore,Scaridae
2014,Reel Sticky,45,Sparisoma aurofrenatum,2,5,6,9.753,Herbivore,Scaridae
2014,Reel Sticky,45,Sparisoma aurofrenatum,2,15,2,100.145,Herbivore,Scaridae
2014,Reel Sticky,45,Halochoeres garnoti,2,5,13,20.309,Invertivore,Labridae
2014,Reel Sticky,45,Halochoeres garnoti,2,10,1,13.488,Invertivore,Labridae
2014,Reel Sticky,45,Thalassoma bifasciatum,3,5,4,4.775,Omnivore,Labridae
2014,Reel Sticky,45,Cephalopholis fulva,3,15,1,44.193,Omnivore,Serranidae
2014,Reel Sticky,45,Sparisoma aurofrenatum,3,5,7,11.378,Herbivore,Scaridae
2014,Reel Sticky,45,Sparisoma aurofrenatum,3,10,8,113.054,Herbivore,Scaridae
2014,Reel Sticky,45,Halochoeres garnoti,3,5,1,1.562,Invertivore,Labridae
2014,Reel Sticky,45,Coryphopterus spp,4,5,6,5.518,Omnivore,Gobiidae
2014,Reel Sticky,45,Canthigaster rostrata,4,10,1,24.544,Omnivore,Tetraodontidae
2014,Reel Sticky,45,Sparisoma aurofrenatum,4,10,4,56.527,Herbivore,Scaridae
2014,Reel Sticky,45,Chaetodon sedentarius,4,10,4,95.959,Invertivore,Chaetodontidae
2014,Reel Sticky,45,Halochoeres garnoti,4,5,1,1.562,Invertivore,Labridae
2014,Reel Sticky,45,Halochoeres garnoti,4,10,1,13.488,Invertivore,Labridae
2014,Reel Sticky,45,Sparisoma aurofrenatum,5,15,1,50.073,Herbivore,Scaridae
2014,Reel Sticky,45,Chaetodon sedentarius,5,10,1,23.990,Invertivore,Chaetodontidae
2014,Reel Sticky,45,Chaetodon ocellatus,5,10,2,53.822,Invertivore,Chaetodontidae
2014,Reel Sticky,45,Chromis enchrysura,5,10,2,27.617,Planktivore,Pomacentridae
2014,Reel Sticky,45,Pterois volitans,5,15,2,77.375,Macrocarnivore,Scorpaenidae
2014,Reel Sticky,45,Chaetodon capistratus,6,10,2,61.809,Invertivore,Chaetodontidae
2014,Reel Sticky,45,Scarus taeniopterus,6,5,8,13.500,Herbivore,Scaridae
2014,Reel Sticky,45,Canthigaster rostrata,6,10,1,24.544,Omnivore,Tetraodontidae
2014,Reel Sticky,45,Sparisoma aurofrenatum,6,5,10,16.255,Herbivore,Scaridae
2014,Reel Sticky,45,Sparisoma aurofrenatum,6,10,1,14.132,Herbivore,Scaridae
2014,Reel Sticky,45,Chaetodon sedentarius,6,10,2,47.979,Invertivore,Chaetodontidae
2014,Reel Sticky,45,Halochoeres garnoti,6,10,4,53.952,Invertivore,Labridae
2014,Reel Sticky,60,Coryphopterus spp,1,5,2,1.839,Omnivore,Gobiidae
2014,Reel Sticky,60,Chaetodon sedentarius,1,15,6,489.747,Invertivore,Chaetodontidae
2014,Reel Sticky,60,Bodianus rufus,1,15,1,46.450,Invertivore,Labridae
2014,Reel Sticky,60,Chromis enchrysura,1,5,1,1.738,Planktivore,Pomacentridae
2014,Reel Sticky,60,Stegastes variabilis,3,15,2,109.056,Omnivore,Pomacentridae
2014,Reel Sticky,60,Coryphopterus spp,3,5,2,1.839,Omnivore,Gobiidae
2014,Reel Sticky,60,Canthigaster rostrata,3,10,1,24.544,Omnivore,Tetraodontidae
2014,Reel Sticky,60,Canthigaster rostrata,3,15,1,80.844,Omnivore,Tetraodontidae
2014,Reel Sticky,60,Sparisoma aurofrenatum,3,5,10,16.255,Herbivore,Scaridae
2014,Reel Sticky,60,Sparisoma aurofrenatum,3,15,2,100.145,Herbivore,Scaridae
2014,Reel Sticky,60,Chaetodon sedentarius,3,15,2,163.249,Invertivore,Chaetodontidae
2014,Reel Sticky,60,Pterois volitans,3,15,1,38.688,Macrocarnivore,Scorpaenidae
2014,Reel Sticky,60,Sparisoma aurofrenatum,4,5,5,8.127,Herbivore,Scaridae
2014,Reel Sticky,60,Sparisoma aurofrenatum,4,5,2,3.251,Herbivore,Scaridae
2014,Reel Sticky,60,Paranthias furcifer,5,5,1,1.808,Planktivore,Epinephelinae
2014,Reel Sticky,60,Chromis bermudae,5,5,45,78.212,Planktivore,Pomacentridae
2014,Reel Sticky,60,Melichthys niger,5,10,7,153.154,Planktivore,Balistidae
2014,Reel Sticky,60,Chaetodon sedentarius,5,10,2,47.979,Invertivore,Chaetodontidae
2014,Reel Sticky,60,Bodianus pulchellus,5,10,3,41.402,Invertivore,Labridae
2014,Reel Sticky,60,Halochoeres garnoti,5,5,1,1.562,Invertivore,Labridae
2014,Reel Sticky,60,Chaetodon sedentarius,6,10,8,191.918,Invertivore,Chaetodontidae
2014,Reel Sticky,60,Halochoeres garnoti,6,5,1,1.562,Invertivore,Labridae
2014,Dark Slime,10,Coryphopterus spp,1,5,127,116.800,Omnivore,Gobiidae
2014,Dark Slime,10,Thalassoma bifasciatum,1,5,2,2.388,Omnivore,Labridae
2014,Dark Slime,10,Thalassoma bifasciatum,1,10,4,38.200,Omnivore,Labridae
2014,Dark Slime,10,Scarus taeniopterus,1,5,25,42.188,Herbivore,Scaridae
2014,Dark Slime,10,Canthigaster rostrata,1,10,1,24.544,Omnivore,Tetraodontidae
